timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
32768.0,25.343403339385986,130.0,10.0,6.5,0.0,225.0,84.3,19.0
65536.0,47.68572807312012,283.0,10.0,6.75,0.0,407.0,133.075,14.0
98304.0,69.98806285858154,350.0,10.0,6.75,0.0,697.0,176.2,14.0
131072.0,92.29312252998352,414.0,10.0,3.25,0.0,1000.0,586.275,21.0
163840.0,114.72900056838989,481.0,10.0,1.75,0.0,1000.0,530.8,19.0
196608.0,137.04660654067993,555.0,10.0,2.25,0.0,1000.0,603.875,28.0
229376.0,159.55797600746155,625.0,10.0,3.25,0.0,1000.0,486.5,19.0
262144.0,182.2395567893982,727.0,10.0,4.5,0.0,1000.0,300.675,8.0
294912.0,204.85970664024353,831.0,10.0,3.75,0.0,1000.0,315.9,15.0
327680.0,227.52804589271545,914.0,10.0,5.0,0.0,1000.0,344.525,14.0
360448.0,250.16083025932312,986.0,10.0,3.25,0.0,1000.0,473.7,16.0
393216.0,272.7211637496948,1060.0,10.0,2.5,0.0,1000.0,470.4,13.0
425984.0,295.1024763584137,1153.0,10.0,4.25,0.0,1000.0,408.175,15.0
458752.0,317.69842886924744,1265.0,10.0,5.25,0.0,1000.0,286.525,13.0
491520.0,340.246036529541,1364.0,10.0,7.0,0.0,1000.0,347.975,12.0
524288.0,362.72417521476746,1451.0,10.0,5.25,0.0,1000.0,310.45,11.0
557056.0,385.20124530792236,1575.0,10.0,6.0,0.0,1000.0,287.325,14.0
589824.0,407.7258508205414,1714.0,10.0,7.0,0.0,1000.0,232.275,13.0
622592.0,430.138299703598,1830.0,10.0,4.75,0.0,1000.0,273.9,13.0
655360.0,452.7282099723816,1943.0,10.0,6.0,0.0,1000.0,211.775,12.0
688128.0,475.2224142551422,2082.0,10.0,5.75,0.0,1000.0,291.35,13.0
720896.0,497.8613636493683,2201.0,10.0,6.75,0.0,1000.0,176.85,9.0
753664.0,520.5504593849182,2318.0,10.0,5.0,0.0,1000.0,329.15,20.0
786432.0,543.2424199581146,2443.0,10.0,5.5,0.0,1000.0,311.8,10.0
819200.0,565.7941725254059,2560.0,10.0,6.5,0.0,1000.0,188.825,13.0
851968.0,588.2034244537354,2681.0,10.0,4.75,0.0,1000.0,207.925,12.0
884736.0,610.7996208667755,2824.0,10.0,5.25,0.0,1000.0,287.825,13.0
917504.0,633.4748830795288,2952.0,10.0,6.5,0.0,1000.0,201.625,14.0
950272.0,656.0086138248444,3092.0,10.0,5.75,0.0,1000.0,197.5,14.0
983040.0,678.4256281852722,3202.0,10.0,5.5,0.0,1000.0,330.025,14.0
1015808.0,701.1066014766693,3304.0,10.0,4.25,0.0,1000.0,361.85,12.0
1048576.0,723.8104050159454,3410.0,10.0,5.0,0.0,1000.0,332.9,15.0
1081344.0,746.3900518417358,3536.0,10.0,4.25,0.0,1000.0,337.575,15.0
1114112.0,768.8566863536835,3652.0,10.0,4.5,0.0,1000.0,269.65,10.0
1146880.0,791.364705324173,3785.0,10.0,5.0,0.0,1000.0,325.225,6.0
1179648.0,813.9182200431824,3929.0,10.0,6.0,0.0,1000.0,230.675,12.0
