timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
32768.0,26.00615167617798,335.0,10.0,8.75,0.0,102.0,45.675,13.0
65536.0,49.42375874519348,508.0,10.0,5.75,0.0,342.0,111.925,15.0
98304.0,72.43342971801758,639.0,10.0,7.75,0.0,658.0,166.325,16.0
131072.0,95.02643871307373,787.0,10.0,4.75,0.0,840.0,190.75,19.0
163840.0,117.24236750602722,961.0,10.0,6.5,0.0,1000.0,270.725,17.0
196608.0,139.27727818489075,1197.0,10.0,6.0,0.0,1000.0,194.55,15.0
229376.0,161.286771774292,1384.0,10.0,7.5,0.0,828.0,130.675,9.0
262144.0,183.28984379768372,1547.0,10.0,5.5,0.0,1000.0,151.8,9.0
294912.0,205.3973412513733,1692.0,10.0,7.0,0.0,1000.0,168.6,12.0
327680.0,227.40812158584595,1870.0,10.0,5.75,0.0,1000.0,229.425,10.0
360448.0,249.51736640930176,2023.0,10.0,7.25,0.0,1000.0,227.075,18.0
393216.0,271.5125551223755,2198.0,10.0,8.5,0.0,1000.0,169.95,18.0
425984.0,293.67033314704895,2432.0,10.0,6.5,0.0,1000.0,189.25,12.0
458752.0,315.7701497077942,2645.0,10.0,6.75,0.0,1000.0,121.525,14.0
491520.0,337.7737717628479,2763.0,10.0,5.75,0.0,1000.0,218.575,17.0
524288.0,359.91454434394836,2907.0,10.0,5.5,0.0,1000.0,224.35,11.0
557056.0,381.9827654361725,3075.0,10.0,6.75,0.0,1000.0,248.175,14.0
589824.0,403.99268531799316,3268.0,10.0,7.0,0.0,1000.0,241.65,14.0
622592.0,426.03448462486267,3450.0,10.0,5.5,0.0,1000.0,192.125,14.0
655360.0,448.2052083015442,3578.0,10.0,5.0,0.0,1000.0,173.35,12.0
688128.0,470.26823329925537,3732.0,10.0,5.5,0.0,1000.0,217.15,6.0
720896.0,492.3289964199066,3900.0,10.0,5.75,0.0,1000.0,207.25,12.0
753664.0,514.3404636383057,4058.0,10.0,6.75,0.0,1000.0,245.5,13.0
786432.0,536.5218224525452,4261.0,10.0,7.0,0.0,1000.0,155.05,12.0
819200.0,558.6266853809357,4418.0,10.0,5.75,0.0,1000.0,203.575,13.0
851968.0,580.7027616500854,4653.0,10.0,5.75,0.0,1000.0,167.075,14.0
884736.0,602.817834854126,4844.0,10.0,7.5,0.0,1000.0,134.8,14.0
917504.0,624.9713304042816,5021.0,10.0,7.75,0.0,1000.0,179.5,12.0
950272.0,647.0458455085754,5172.0,10.0,7.25,0.0,1000.0,191.1,14.0
983040.0,669.213339805603,5335.0,10.0,8.0,0.0,1000.0,194.925,12.0
1015808.0,691.3292253017426,5494.0,10.0,6.0,0.0,1000.0,201.55,11.0
1048576.0,713.4844222068787,5612.0,10.0,6.75,0.0,1000.0,223.075,10.0
1081344.0,735.5965423583984,5808.0,10.0,6.75,0.0,1000.0,206.75,14.0
1114112.0,757.6471593379974,5986.0,10.0,5.25,0.0,1000.0,218.9,9.0
1146880.0,779.9061887264252,6121.0,10.0,6.0,0.0,1000.0,272.4,13.0
1179648.0,802.109787940979,6247.0,10.0,8.25,0.0,685.0,102.25,14.0
1212416.0,824.2728295326233,6406.0,10.0,5.5,0.0,1000.0,227.125,15.0
1245184.0,846.34672498703,6614.0,10.0,7.25,0.0,1000.0,210.025,14.0
1277952.0,868.5569553375244,6826.0,10.0,6.75,0.0,1000.0,108.95,11.0
1310720.0,890.614235162735,6983.0,10.0,7.25,0.0,1000.0,162.025,15.0
1343488.0,912.6575887203217,7150.0,10.0,6.5,0.0,1000.0,187.275,12.0
1376256.0,934.6790235042572,7325.0,10.0,6.25,0.0,1000.0,195.175,9.0
1409024.0,956.787359714508,7477.0,10.0,5.0,0.0,1000.0,235.35,14.0
1441792.0,978.8599805831909,7634.0,10.0,7.0,0.0,1000.0,212.725,13.0
1474560.0,1000.8944735527039,7794.0,10.0,5.75,0.0,1000.0,195.675,9.0
1507328.0,1022.8896584510803,7955.0,10.0,7.75,0.0,1000.0,220.55,9.0
1540096.0,1044.9963221549988,8099.0,10.0,7.5,0.0,1000.0,184.275,17.0
1572864.0,1066.94668507576,8286.0,10.0,8.0,0.0,1000.0,153.525,11.0
1605632.0,1089.020000219345,8532.0,10.0,6.0,0.0,1000.0,297.625,14.0
1638400.0,1111.0144472122192,8729.0,10.0,6.0,0.0,872.0,119.475,10.0
1671168.0,1133.1689367294312,8868.0,10.0,4.0,0.0,1000.0,234.75,11.0
1703936.0,1155.261070728302,8987.0,10.0,7.25,0.0,1000.0,132.4,14.0
1736704.0,1177.2819941043854,9165.0,10.0,6.5,0.0,1000.0,212.1,13.0
1769472.0,1199.4340467453003,9396.0,10.0,6.0,0.0,1000.0,149.1,13.0
1802240.0,1221.4425003528595,9562.0,10.0,7.0,0.0,950.0,140.475,11.0
1835008.0,1243.4943220615387,9691.0,10.0,6.5,0.0,1000.0,154.1,14.0
1867776.0,1265.5527198314667,9871.0,10.0,6.25,0.0,1000.0,273.8,12.0
1900544.0,1287.7021203041077,10096.0,10.0,7.0,0.0,1000.0,122.075,9.0
1933312.0,1309.7227141857147,10316.0,10.0,6.75,0.0,1000.0,224.525,10.0
1966080.0,1331.8115284442902,10512.0,10.0,6.0,0.0,1000.0,211.125,11.0
1998848.0,1353.8073303699493,10701.0,10.0,7.5,0.0,1000.0,165.475,14.0
2031616.0,1375.9599401950836,10898.0,10.0,6.75,0.0,1000.0,161.2,14.0
2064384.0,1398.1099967956543,11050.0,10.0,6.25,0.0,1000.0,177.725,13.0
2097152.0,1420.2534019947052,11194.0,10.0,5.75,0.0,1000.0,294.1,6.0
2129920.0,1442.3325016498566,11332.0,10.0,7.0,0.0,1000.0,215.5,13.0
